t_s,hour,capacity_kw,total_req_kw,total_flex_req_kw,total_served_kw,total_unmet_kw,hospital_req_kw,hospital_served_kw,hospital_unmet_kw,hospital_flex_req_kw,hospital_flex_served_kw,hospital_flex_unmet_kw,residential_req_kw,residential_served_kw,residential_unmet_kw,residential_flex_req_kw,residential_flex_served_kw,residential_flex_unmet_kw,commercial_req_kw,commercial_served_kw,commercial_unmet_kw,commercial_flex_req_kw,commercial_flex_served_kw,commercial_flex_unmet_kw,industrial_req_kw,industrial_served_kw,industrial_unmet_kw,industrial_flex_req_kw,industrial_flex_served_kw,industrial_flex_unmet_kw,ev_charging_req_kw,ev_charging_served_kw,ev_charging_unmet_kw,ev_charging_flex_req_kw,ev_charging_flex_served_kw,ev_charging_flex_unmet_kw
10500,8.916666666666666,220.0,264.46740743809335,85,220.0,129.46740743809332,78.31069760159485,78.31069760159485,0.0,5,0.0,5.0,66.20673948328425,66.20673948328425,0.0,18,0.0,18.0,54.86809666590612,54.86809666590612,0.0,12,0.0,12.0,52.41285845658535,20.61446624921477,31.798392207370576,15,0.0,15.0,12.669015230722751,0.0,12.669015230722751,35,0.0,35.0
10800,9.0,220.0,259.04259524135426,85,220.0,124.04259524135428,72.45516842150238,72.45516842150238,0.0,5,0.0,5.0,65.97484951988996,65.97484951988996,0.0,18,0.0,18.0,52.94738886164796,52.94738886164796,0.0,12,0.0,12.0,53.85318405427873,28.622593196959706,25.230590857319022,15,0.0,15.0,13.812004384035253,0.0,13.812004384035253,35,0.0,35.0
11100,9.083333333333334,220.0,268.8758051220062,85,220.0,133.87580512200626,75.15112415911778,75.15112415911778,0.0,5,0.0,5.0,69.68772476242893,69.68772476242893,0.0,18,0.0,18.0,56.27858327940226,56.27858327940226,0.0,12,0.0,12.0,54.825871164150364,18.882567799051024,35.94330336509934,15,0.0,15.0,12.93250175690691,0.0,12.93250175690691,35,0.0,35.0
11400,9.166666666666666,220.0,252.1057923163587,85,220.0,117.1057923163587,72.90098574671379,72.90098574671379,0.0,5,0.0,5.0,64.19370582873134,64.19370582873134,0.0,18,0.0,18.0,51.389571933272215,51.389571933272215,0.0,12,0.0,12.0,50.46075943449435,31.51573649128266,18.94502294321169,15,0.0,15.0,13.160769373147016,0.0,13.160769373147016,35,0.0,35.0
11700,9.25,220.0,262.4803390667059,85,220.0,127.48033906670588,77.3732073903362,77.3732073903362,0.0,5,0.0,5.0,67.37119759094288,67.37119759094288,0.0,18,0.0,18.0,52.166830089544035,52.166830089544035,0.0,12,0.0,12.0,52.304170334495346,23.088764929176875,29.21540540531847,15,0.0,15.0,13.264933661387417,0.0,13.264933661387417,35,0.0,35.0
12000,9.333333333333334,220.0,255.09081574529282,85,220.0,120.0908157452928,70.68821166436165,70.68821166436165,0.0,5,0.0,5.0,65.2824608170169,65.2824608170169,0.0,18,0.0,18.0,53.61096522993665,53.61096522993665,0.0,12,0.0,12.0,52.440148352449626,30.41836228868482,22.021786063764807,15,0.0,15.0,13.069029681527997,0.0,13.069029681527997,35,0.0,35.0
12300,9.416666666666666,220.0,248.93354635070756,85,220.0,113.93354635070754,72.9110304415956,72.9110304415956,0.0,5,0.0,5.0,61.26520508602603,61.26520508602603,0.0,18,0.0,18.0,52.15136604283721,52.15136604283721,0.0,12,0.0,12.0,49.61216689773341,33.672398429541175,15.939768468192234,15,0.0,15.0,12.99377788251531,0.0,12.99377788251531,35,0.0,35.0
12600,9.5,220.0,251.66747751818696,85,220.0,116.66747751818696,75.77956059876522,75.77956059876522,0.0,5,0.0,5.0,61.66382817531723,61.66382817531723,0.0,18,0.0,18.0,49.34813445992898,49.34813445992898,0.0,12,0.0,12.0,52.12228704336872,33.20847676598857,18.91381027738015,15,0.0,15.0,12.753667240806815,0.0,12.753667240806815,35,0.0,35.0
12900,9.583333333333334,220.0,239.5729500732527,85,220.0,104.57295007325268,69.27872107702251,69.27872107702251,0.0,5,0.0,5.0,59.013817666395376,59.013817666395376,0.0,18,0.0,18.0,47.26312599248256,47.26312599248256,0.0,12,0.0,12.0,51.310829666641276,44.444335264099564,6.866494402541711,15,0.0,15.0,12.706455670710982,0.0,12.706455670710982,35,0.0,35.0
13200,9.666666666666666,220.0,242.53461858451448,85,220.0,107.53461858451448,68.40011394112639,68.40011394112639,0.0,5,0.0,5.0,62.24064827848747,62.24064827848747,0.0,18,0.0,18.0,50.400703415331215,50.400703415331215,0.0,12,0.0,12.0,49.49357197996044,38.95853436505492,10.53503761490552,15,0.0,15.0,11.999580969608957,0.0,11.999580969608957,35,0.0,35.0
13500,9.75,220.0,235.10167091805707,85,220.0,100.10167091805708,70.51374578149328,70.51374578149328,0.0,5,0.0,5.0,57.05510595771131,57.05510595771131,0.0,18,0.0,18.0,44.91364359531534,44.91364359531534,0.0,12,0.0,12.0,50.40459281482518,47.517504665480054,2.887088149345125,15,0.0,15.0,12.214582768711955,0.0,12.214582768711955,35,0.0,35.0
13800,9.833333333333334,220.0,237.9800941532373,85,220.0,102.9800941532373,69.6242213626128,69.6242213626128,0.0,5,0.0,5.0,60.73986945083771,60.73986945083771,0.0,18,0.0,18.0,46.02092741303507,46.02092741303507,0.0,12,0.0,12.0,49.31941618493192,43.61498177351443,5.704434411417488,15,0.0,15.0,12.275659741819808,0.0,12.275659741819808,35,0.0,35.0
14100,9.916666666666666,220.0,224.63732878738233,85,220.0,89.63732878738233,66.73197779461815,66.73197779461815,0.0,5,0.0,5.0,55.78505582606503,55.78505582606503,0.0,18,0.0,18.0,44.51995407667072,44.51995407667072,0.0,12,0.0,12.0,45.75530813101769,45.75530813101769,0.0,15,0.0,15.0,11.845032959010725,7.207704171628393,4.637328787382332,35,0.0,35.0
14400,10.0,220.0,224.85106554870785,85,220.0,89.85106554870788,66.37549366843805,66.37549366843805,0.0,5,0.0,5.0,55.761659371478764,55.761659371478764,0.0,18,0.0,18.0,42.96857792450823,42.96857792450823,0.0,12,0.0,12.0,48.3125596467403,48.3125596467403,0.0,15,0.0,15.0,11.432774937542517,6.581709388834646,4.85106554870787,35,0.0,35.0
14700,10.083333333333332,220.0,225.77436712628074,85,220.0,90.77436712628072,67.04656210190468,67.04656210190468,0.0,5,0.0,5.0,55.72014128574008,55.72014128574008,0.0,18,0.0,18.0,45.56448184996069,45.56448184996069,0.0,12,0.0,12.0,45.4985860786737,45.4985860786737,0.0,15,0.0,15.0,11.944595810001575,6.17022868372085,5.774367126280724,35,0.0,35.0
15000,10.166666666666668,220.0,218.71958674294854,85,219.16773138291654,84.55185536003198,66.68152712151097,66.68152712151097,0.0,5,0.4481446399680167,4.5518553600319835,54.51167981840077,54.51167981840077,0.0,18,0.0,18.0,43.10572947737332,43.10572947737332,0.0,12,0.0,12.0,43.154406680268295,43.154406680268295,0.0,15,0.0,15.0,11.266243645395173,11.266243645395173,0.0,35,0.0,35.0
15300,10.25,220.0,212.8166345293846,85,215.3308124441,82.48582208528461,63.949795762606016,63.949795762606016,0.0,5,2.5141779147153915,2.4858220852846085,50.807727167924064,50.807727167924064,0.0,18,0.0,18.0,43.5151916312029,43.5151916312029,0.0,12,0.0,12.0,43.36510353198699,43.36510353198699,0.0,15,0.0,15.0,11.178816435664617,11.178816435664617,0.0,35,0.0,35.0
15600,10.333333333333332,220.0,216.24965213735237,85,217.56227388927903,83.68737824807333,66.92134507121706,66.92134507121706,0.0,5,1.3126217519266745,3.6873782480733253,52.92372716395385,52.92372716395385,0.0,18,0.0,18.0,40.814195223388886,40.814195223388886,0.0,12,0.0,12.0,44.439400166651744,44.439400166651744,0.0,15,0.0,15.0,11.150984512140825,11.150984512140825,0.0,35,0.0,35.0
15900,10.416666666666668,220.0,211.18164839451353,85,214.26807145643377,81.91357693807974,66.73194959271278,66.73194959271278,0.0,5,3.086423061920262,1.9135769380797378,49.80031133612138,49.80031133612138,0.0,18,0.0,18.0,41.11125525750914,41.11125525750914,0.0,12,0.0,12.0,42.80554496257481,42.80554496257481,0.0,15,0.0,15.0,10.73258724559541,10.73258724559541,0.0,35,0.0,35.0
16200,10.5,220.0,213.69268352912766,85,215.90024429393296,82.79243923519469,66.11613153511455,66.11613153511455,0.0,5,2.207560764805312,2.792439235194688,51.14868518877119,51.14868518877119,0.0,18,0.0,18.0,40.48488568105754,40.48488568105754,0.0,12,0.0,12.0,44.62174177423468,44.62174177423468,0.0,15,0.0,15.0,11.321239349949701,11.321239349949701,0.0,35,0.0,35.0
16500,10.583333333333332,220.0,208.3235622826428,85,212.4103154837178,80.91324679892499,63.51498505855215,63.51498505855215,0.0,5,4.086753201075011,0.9132467989249893,50.995961430193,50.995961430193,0.0,18,0.0,18.0,39.67501998973392,39.67501998973392,0.0,12,0.0,12.0,43.15441848520753,43.15441848520753,0.0,15,0.0,15.0,10.983177318956209,10.983177318956209,0.0,35,0.0,35.0
16800,10.666666666666668,220.0,207.6503631995954,85,211.972736079737,80.67762711985839,63.1266007763008,63.1266007763008,0.0,5,4.3223728801416135,0.6776271198583865,49.96617526874033,49.96617526874033,0.0,18,0.0,18.0,39.02872906484202,39.02872906484202,0.0,12,0.0,12.0,44.630205176621075,44.630205176621075,0.0,15,0.0,15.0,10.89865291309117,10.89865291309117,0.0,35,0.0,35.0
17100,10.75,220.0,208.22423686376465,85,212.34575396144703,80.87848290231763,65.39040581547077,65.39040581547077,0.0,5,4.121517097682366,0.8784829023176339,51.40121516690628,51.40121516690628,0.0,18,0.0,18.0,37.69260417810956,37.69260417810956,0.0,12,0.0,12.0,42.66647874079581,42.66647874079581,0.0,15,0.0,15.0,11.073532962482227,11.073532962482227,0.0,35,0.0,35.0
17400,10.833333333333332,220.0,200.38171139325388,85,207.24811240561502,78.13359898763886,64.77271396416603,64.77271396416603,0.0,5,5.0,0.0,46.932846053763164,46.932846053763164,0.0,18,1.8664010123611368,16.133598987638862,36.727106673395845,36.727106673395845,0.0,12,0.0,12.0,41.87052097387746,41.87052097387746,0.0,15,0.0,15.0,10.078523728051392,10.078523728051392,0.0,35,0.0,35.0
17700,10.916666666666668,220.0,199.165273175152,85,206.4574275638488,77.7078456113032,60.68765740891956,60.68765740891956,0.0,5,5.0,0.0,46.16637372120956,46.16637372120956,0.0,18,2.2921543886967966,15.707845611303203,38.40428409372207,38.40428409372207,0.0,12,0.0,12.0,43.03092584045848,43.03092584045848,0.0,15,0.0,15.0,10.87603211084233,10.87603211084233,0.0,35,0.0,35.0
18000,11.0,220.0,197.59473864973333,85,205.43658012232666,77.15815852740667,59.85584968605738,59.85584968605738,0.0,5,5.0,0.0,48.830505864445655,48.830505864445655,0.0,18,2.841841472593333,15.158158527406666,37.99718801231068,37.99718801231068,0.0,12,0.0,12.0,40.11341876015348,40.11341876015348,0.0,15,0.0,15.0,10.79777632676613,10.79777632676613,0.0,35,0.0,35.0
18300,11.083333333333332,220.0,200.73483518463823,85,207.47764287001485,78.25719231462338,64.61097602202248,64.61097602202248,0.0,5,5.0,0.0,46.08549830401022,46.08549830401022,0.0,18,1.7428076853766195,16.25719231462338,38.747499730818,38.747499730818,0.0,12,0.0,12.0,40.959029198380776,40.959029198380776,0.0,15,0.0,15.0,10.331831929406734,10.331831929406734,0.0,35,0.0,35.0
18600,11.166666666666668,220.0,199.88356072562433,85,206.9243144716558,77.95924625396852,64.49396168313598,64.49396168313598,0.0,5,5.0,0.0,48.639961424291236,48.639961424291236,0.0,18,2.0407537460314806,15.95924625396852,35.533474440597395,35.533474440597395,0.0,12,0.0,12.0,40.903669996589855,40.903669996589855,0.0,15,0.0,15.0,10.312493181009874,10.312493181009874,0.0,35,0.0,35.0
18900,11.25,220.0,193.17671459783585,85,202.56486448859332,75.61185010924257,60.28167018991063,60.28167018991063,0.0,5,5.0,0.0,45.35117512906008,45.35117512906008,0.0,18,4.38814989075744,13.61185010924256,35.85807598936162,35.85807598936162,0.0,12,0.0,12.0,41.92501752387811,41.92501752387811,0.0,15,0.0,15.0,9.760775765625423,9.760775765625423,0.0,35,0.0,35.0
19200,11.333333333333332,220.0,192.7037402287421,85,202.25743114868237,75.44630908005973,61.40873465346248,61.40873465346248,0.0,5,5.0,0.0,46.23311497064791,46.23311497064791,0.0,18,4.55369091994026,13.44630908005974,34.54523507655493,34.54523507655493,0.0,12,0.0,12.0,40.1743344333735,40.1743344333735,0.0,15,0.0,15.0,10.342321094703285,10.342321094703285,0.0,35,0.0,35.0
19500,11.416666666666668,220.0,195.66694837747792,85,204.18351644536065,76.48343193211727,60.98835882443506,60.98835882443506,0.0,5,5.0,0.0,44.26270632444383,44.26270632444383,0.0,18,3.5165680678827247,14.483431932117275,37.847373477261044,37.847373477261044,0.0,12,0.0,12.0,41.90546140204418,41.90546140204418,0.0,15,0.0,15.0,10.663048349293812,10.663048349293812,0.0,35,0.0,35.0
19800,11.5,220.0,189.30782433610327,85,200.05008581846712,74.25773851763614,58.36861098094732,58.36861098094732,0.0,5,5.0,0.0,44.99828715851108,44.99828715851108,0.0,18,5.742261482363851,12.257738517636149,34.270452101282764,34.270452101282764,0.0,12,0.0,12.0,41.749488790166424,41.749488790166424,0.0,15,0.0,15.0,9.920985305195687,9.920985305195687,0.0,35,0.0,35.0
20100,11.583333333333332,220.0,192.8907871392808,85,202.37901164053253,75.51177549874829,58.40001512285913,58.40001512285913,0.0,5,5.0,0.0,45.548396016464906,45.548396016464906,0.0,18,4.488224501251713,13.511775498748287,37.24783580428611,37.24783580428611,0.0,12,0.0,12.0,41.809725815164654,41.809725815164654,0.0,15,0.0,15.0,9.884814380506,9.884814380506,0.0,35,0.0,35.0
20400,11.666666666666668,220.0,192.92810436433857,85,202.40326783682008,75.5248365275185,58.417659669897276,58.417659669897276,0.0,5,5.0,0.0,47.674544841998625,47.674544841998625,0.0,18,4.475163472481501,13.524836527518499,35.900140355929715,35.900140355929715,0.0,12,0.0,12.0,41.24265435298054,41.24265435298054,0.0,15,0.0,15.0,9.69310514353242,9.69310514353242,0.0,35,0.0,35.0
20700,11.75,220.0,188.70401657847123,85,199.65761077600627,74.04640580246493,57.77500647738881,57.77500647738881,0.0,5,5.0,0.0,46.488421924554494,46.488421924554494,0.0,18,5.95359419753507,12.04640580246493,35.274276072274034,35.274276072274034,0.0,12,0.0,12.0,38.634069953366655,38.634069953366655,0.0,15,0.0,15.0,10.532242150887221,10.532242150887221,0.0,35,0.0,35.0
21000,11.833333333333332,220.0,193.4233624097974,85,202.72518556636828,75.6981768434291,61.184526738921576,61.184526738921576,0.0,5,5.0,0.0,46.895101973191196,46.895101973191196,0.0,18,4.301823156570903,13.698176843429097,33.97192543022515,33.97192543022515,0.0,12,0.0,12.0,41.733842307457294,41.733842307457294,0.0,15,0.0,15.0,9.637965960002177,9.637965960002177,0.0,35,0.0,35.0
21300,11.916666666666668,220.0,193.4691235601399,85,202.75493031409093,75.71419324604896,62.49594990354408,62.49594990354408,0.0,5,5.0,0.0,45.221357830364326,45.221357830364326,0.0,18,4.285806753951032,13.714193246048968,34.80083053676753,34.80083053676753,0.0,12,0.0,12.0,40.46006224242628,40.46006224242628,0.0,15,0.0,15.0,10.490923047037688,10.490923047037688,0.0,35,0.0,35.0
